0,1,2,3,4
33.0,20.0,18.0,36.0,0.2099978452919629
34.0,21.0,12.0,29.0,0.2099978452919629
29.0,21.0,15.0,32.0,0.205796164619694
31.0,20.0,20.0,30.0,0.205796164619694
32.0,18.0,13.0,25.0,0.194807153630683
24.0,20.0,21.0,30.0,0.1876642964878259
39.0,17.0,26.0,25.0,0.1876642964878259
27.0,19.0,17.0,36.0,0.1876642964878259
30.0,17.0,14.0,32.0,0.1876642964878259
34.0,17.0,15.0,27.0,0.1876642964878259
27.0,18.0,12.0,29.0,0.1876642964878259
29.0,17.0,20.0,30.0,0.1876642964878259
38.0,17.0,14.0,35.0,0.1805214393449687
30.0,15.0,20.0,27.0,0.1779357897004956
24.0,19.0,19.0,26.0,0.1766752854988149
39.0,16.0,20.0,29.0,0.1710676578323637
33.0,20.0,22.0,29.0,0.168271924154277
25.0,16.0,21.0,24.0,0.1672215039862098
33.0,13.0,24.0,26.0,0.1669467787114845
25.0,13.0,16.0,36.0,0.1627450980392157
36.0,13.0,27.0,34.0,0.1627450980392157
37.0,15.0,15.0,22.0,0.1600786468433527
27.0,13.0,18.0,29.0,0.1546164619694031
33.0,10.0,25.0,21.0,0.1516752854988149
26.0,15.0,27.0,23.0,0.1504147812971342
29.0,14.0,20.0,21.0,0.1448879551820728
37.0,6.0,26.0,28.0,0.1380198233139409
35.0,6.0,26.0,31.0,0.1380198233139409
39.0,6.0,13.0,27.0,0.133818142641672
39.0,8.0,26.0,23.0,0.1296164619694031
30.0,6.0,22.0,26.0,0.1296164619694031
31.0,8.0,12.0,23.0,0.1270308123249299
39.0,7.0,25.0,31.0,0.1270308123249299
35.0,8.0,16.0,36.0,0.1270308123249299
25.0,6.0,23.0,21.0,0.1254147812971342
35.0,8.0,16.0,21.0,0.122829131652661
37.0,7.0,19.0,34.0,0.122829131652661
30.0,7.0,23.0,27.0,0.122829131652661
36.0,6.0,25.0,28.0,0.1212131006248653
29.0,10.0,16.0,26.0,0.1212131006248653
25.0,7.0,27.0,21.0,0.1186274509803921
38.0,16.0,12.0,26.0,0.1136446886446886
24.0,9.0,16.0,34.0,0.1032212885154061
41.0,23.0,17.0,28.0,0.2224628312863607
35.0,22.0,12.0,28.0,0.22666451195862963
39.0,19.0,28.0,38.0,0.19480715363068304
33.0,17.0,10.0,24.0,0.1876642964878259
30.0,17.0,13.0,32.0,0.1876642964878259
